VariableCode,RegionCode,YearCode,AggValue
pl_da,CIV,2004,0.40016803145408600
pl_gdpo,CIV,2004,0.41893920302391100
xr,CIV,2005,527.46814284000000000
pl_da,CIV,2005,0.41833168268203700
pl_gdpo,CIV,2005,0.43589738011360200
xr,CIV,2006,522.89010961083300000
pl_da,CIV,2006,0.41477009654045100
pl_gdpo,CIV,2006,0.43479812145233200
xr,CIV,2007,479.26678258750000000
pl_da,CIV,2007,0.45357361435890200
pl_gdpo,CIV,2007,0.47150838375091600
xr,CIV,2008,447.80525556077300000
pl_da,CIV,2008,0.49840411543846100
pl_gdpo,CIV,2008,0.53055357933044400
xr,CIV,2009,472.18629075489300000
pl_da,CIV,2009,0.45796161890029900
pl_gdpo,CIV,2009,0.48187065124511700
xr,CIV,2010,495.27702157239600000
pl_da,CIV,2010,0.43434172868728600
pl_gdpo,CIV,2010,0.45757681131362900
xr,CIV,2011,471.86611409170000000
pl_da,CIV,2011,0.44118580222129800
pl_gdpo,CIV,2011,0.46852317452430700
xr,CIV,2012,510.52713590197000000
pl_da,CIV,2012,0.42999950051307700
pl_gdpo,CIV,2012,0.43984910845756500
xr,CIV,2013,494.04003744699000000
pl_da,CIV,2013,0.47537624835968000
pl_gdpo,CIV,2013,0.48404550552368200
xr,CIV,2014,494.41495286493700000
pl_da,CIV,2014,0.49129047989845300
pl_gdpo,CIV,2014,0.50406759977340700
xr,CIV,2015,591.65935115166700000
pl_da,CIV,2015,0.42427289485931400
pl_gdpo,CIV,2015,0.43355900049209600
xr,CIV,2016,592.60561506302200000
pl_da,CIV,2016,0.43501979112625100
pl_gdpo,CIV,2016,0.44363546371460000
xr,CIV,2017,580.65674958785800000
pl_da,CIV,2017,0.45301499962806700
pl_gdpo,CIV,2017,0.46407651901245100
xr,CIV,2018,555.44645839822600000
pl_da,CIV,2018,0.47475126385688800
pl_gdpo,CIV,2018,0.47998926043510400
xr,CIV,2019,585.91101318036900000
pl_da,CIV,2019,0.44681021571159400
pl_gdpo,CIV,2019,0.45226401090621900
xr,CMR,2000,711.97627443083300000
pl_da,CMR,2000,0.23952946066856400
pl_gdpo,CMR,2000,0.24315018951892900
xr,CMR,2001,733.03850707000000000
pl_da,CMR,2001,0.24629968404769900
pl_gdpo,CMR,2001,0.24720886349678000
xr,CMR,2002,696.98820361166700000
xr,BEN,2000,711.97627443083300000
pl_da,BEN,2000,0.24007190763950300
pl_gdpo,BEN,2000,0.22629873454570800
xr,BEN,2001,733.03850707000000000
pl_da,BEN,2001,0.23407539725303600
pl_gdpo,BEN,2001,0.21979990601539600
xr,BEN,2002,696.98820361166700000
pl_da,BEN,2002,0.24108462035656000
pl_gdpo,BEN,2002,0.22567638754844700
xr,BEN,2003,581.20031386416700000
pl_da,BEN,2003,0.28656899929046600
pl_gdpo,BEN,2003,0.26999804377555800
xr,BEN,2004,528.28480930500000000
pl_da,BEN,2004,0.30641904473304700
pl_gdpo,BEN,2004,0.29176768660545300
xr,BEN,2005,527.46814284000000000
pl_da,BEN,2005,0.30767259001731900
pl_gdpo,BEN,2005,0.29238364100456200
xr,BEN,2006,522.89010961083300000
pl_da,BEN,2006,0.32407891750335700
pl_gdpo,BEN,2006,0.30523473024368300
xr,BEN,2007,479.26678258750000000
pl_da,BEN,2007,0.36314284801483200
pl_gdpo,BEN,2007,0.33251321315765400
xr,BEN,2008,447.80525556077300000
pl_da,BEN,2008,0.41070818901062000
pl_gdpo,BEN,2008,0.38589853048324600
xr,BEN,2009,472.18629075489300000
pl_da,BEN,2009,0.40179890394210800
pl_gdpo,BEN,2009,0.38165593147277800
xr,BEN,2010,495.27702157239600000
pl_da,BEN,2010,0.39304664731025700
pl_gdpo,BEN,2010,0.36397087574005100
xr,BEN,2011,471.86611409170000000
pl_da,BEN,2011,0.43138521909713700
pl_gdpo,BEN,2011,0.40500983595848100
xr,BEN,2012,510.52713590197000000
pl_da,BEN,2012,0.42496746778488200
pl_gdpo,BEN,2012,0.39658853411674500
xr,BEN,2013,494.04003744699000000
pl_da,BEN,2013,0.45380708575248700
pl_gdpo,BEN,2013,0.42576262354850800
xr,BEN,2014,494.41495286493700000
pl_da,BEN,2014,0.44958338141441300
pl_gdpo,BEN,2014,0.41944831609726000
xr,BEN,2015,591.65935115166700000
pl_da,BEN,2015,0.37400293350219700
pl_gdpo,BEN,2015,0.35124284029007000
xr,BEN,2016,592.60561506302200000
pl_da,BEN,2016,0.37075054645538300
pl_gdpo,BEN,2016,0.34435915946960400
xr,BEN,2017,580.65674958785800000
pl_da,BEN,2017,0.39310622215271000
